id,total_act_min,total_sleep,days_used,usage,total_step
1503960366,34905,9007,31,high use,375619
1644430081,41138,1176,30,high use,218489
1844505072,41028,1956,31,high use,79982
1927972279,42101,2085,31,high use,28400
2026352035,29339,14173,31,high use,172573
2320127002,44089,61,31,high use,146223
2347167796,17527,6702,18,moderate use,171354
3977333714,28874,8222,30,high use,329537
4020332650,41067,2795,31,high use,70284
4319703577,30395,12393,31,high use,225334
4388161847,34396,9204,31,high use,335232
4445114986,32468,10785,31,high use,148693
4558609924,43483,638,31,high use,238239
4702921684,32087,11272,31,high use,265734
5553957443,28240,14368,31,high use,266990
5577150313,30586,11232,30,high use,249133
6117666160,30471,8618,28,high use,197308
6775888955,35500,1049,26,high use,65512
6962181067,29433,13888,31,high use,303639
7007744171,35968,137,26,high use,294409
7086361926,32929,10875,31,high use,290525
8053475328,43205,891,31,high use,457662
8378563200,29176,13799,31,high use,270249
8792009665,33561,6535,29,high use,53758
